player,cofc_goals,opp_goals,opponent,date,goals,shots,shots_on_target,key_passes,dribbles,duels_won,defensive_duels_won,interceptions,clearances,sliding_tackles,passes,passes_accurate,pass_accuracy_pct,progressive_passes,duels_total,aset_score,peak_score,set_score,total_score,source_file
H. Walker,2,3,South Carolina Gamecocks,22.08.2025,1,1,1,0,0,0,0,1,0,0,13,11,84.6,0,1,1.0,3.5,0.0,4.5,players_2025_08_22_SouthCarolina.pdf
R. Ray,2,3,South Carolina Gamecocks,22.08.2025,0,0,0,0,0,2,2,0,0,0,8,7,87.5,0,3,1.0,0.0,0.0,1.0,players_2025_08_22_SouthCarolina.pdf
A. Duran,2,3,South Carolina Gamecocks,22.08.2025,0,0,0,0,0,2,1,0,0,0,6,4,66.7,0,2,0.5,0.0,0.0,0.5,players_2025_08_22_SouthCarolina.pdf
R. Watson,,,Davidson,2025_08_26,0,0,0,0,1,4,2,2,1,0,24,16,66.7,0,10,4.0,0.2,0.0,4.2,players_2025_08_26_Davidson.pdf
N. Gold,,,Davidson,2025_08_26,1,1,0,0,1,16,4,5,2,1,82,76,92.7,0,19,10.0,3.2,0.0,13.2,players_2025_08_26_Davidson.pdf
T. Nero,,,Davidson,2025_08_26,0,0,0,0,0,4,3,3,0,0,37,30,81.1,0,8,4.5,0.0,0.0,4.5,players_2025_08_26_Davidson.pdf
J. Barrett,,,Davidson,2025_08_26,0,0,0,0,1,6,1,2,0,0,46,38,82.6,0,10,2.5,0.2,0.0,2.7,players_2025_08_26_Davidson.pdf
E. White,,,Davidson,2025_08_26,0,0,0,0,0,6,4,8,2,1,49,39,79.6,0,16,13.0,0.0,0.0,13.0,players_2025_08_26_Davidson.pdf
I. Salifu,,,Davidson,2025_08_26,0,0,0,0,0,3,1,0,0,0,43,37,86.0,0,10,0.5,0.0,0.0,0.5,players_2025_08_26_Davidson.pdf
S. Bendvold,,,Davidson,2025_08_26,1,1,1,0,3,3,1,2,2,0,18,13,72.2,0,10,4.5,4.1,0.0,8.6,players_2025_08_26_Davidson.pdf
B. Bagshaw,,,Davidson,2025_08_26,1,1,1,1,5,7,0,3,0,0,14,6,42.9,0,12,3.0,5.0,0.0,8.0,players_2025_08_26_Davidson.pdf
P. Dashin,,,Davidson,2025_08_26,0,0,0,0,0,7,0,0,0,0,6,2,33.3,0,18,0.0,0.0,0.0,0.0,players_2025_08_26_Davidson.pdf
M. Lenert,,,Davidson,2025_08_26,0,0,0,0,4,7,0,2,1,1,12,8,66.7,0,15,4.0,0.8,0.0,4.8,players_2025_08_26_Davidson.pdf
C. Hughes,,,Davidson,2025_08_26,0,0,0,1,4,4,2,1,0,0,18,11,61.1,0,10,2.0,1.3,0.0,3.3,players_2025_08_26_Davidson.pdf
H. Walker,,,Davidson,2025_08_26,1,1,0,1,1,6,2,0,0,0,41,38,92.7,0,10,1.0,3.7,0.0,4.7,players_2025_08_26_Davidson.pdf
L. Gill,,,Davidson,2025_08_26,4,4,2,1,1,6,4,2,0,0,17,12,70.6,0,17,4.0,13.7,0.0,17.7,players_2025_08_26_Davidson.pdf
B. Baldwin,,,Davidson,2025_08_26,1,1,0,0,0,3,2,0,0,0,27,22,81.5,0,6,1.0,3.0,0.0,4.0,players_2025_08_26_Davidson.pdf
R. Ray,,,Davidson,2025_08_26,0,0,0,0,1,4,1,1,1,0,21,14,66.7,0,6,2.5,0.2,0.0,2.7,players_2025_08_26_Davidson.pdf
C. Crockford,2,0,North Carolina Heels,02.09.2025,0,0,0,0,0,4,1,5,3,0,26,22,84.6,0,8,8.5,0.0,0.0,8.5,players_2025_09_02_NorthCarolina.pdf
B. Baldwin,2,0,North Carolina Heels,02.09.2025,0,0,0,0,0,2,1,4,5,0,21,18,85.7,0,6,9.5,0.0,0.0,9.5,players_2025_09_02_NorthCarolina.pdf
N. Gold,2,0,North Carolina Heels,02.09.2025,0,0,0,0,0,4,2,8,4,0,24,16,66.7,0,7,13.0,0.0,0.0,13.0,players_2025_09_02_NorthCarolina.pdf
J. Barrett,2,0,North Carolina Heels,02.09.2025,0,0,0,0,2,9,4,4,1,1,29,24,82.8,0,17,8.0,0.4,0.0,8.4,players_2025_09_02_NorthCarolina.pdf
B. Bagshaw,2,0,North Carolina Heels,02.09.2025,1,1,0,0,4,2,1,2,0,0,12,8,66.7,0,10,2.5,3.8,0.0,6.3,players_2025_09_02_NorthCarolina.pdf
S. Bendvold,2,0,North Carolina Heels,02.09.2025,0,0,0,1,0,4,1,6,3,1,24,20,83.3,0,13,10.5,0.5,0.0,11.0,players_2025_09_02_NorthCarolina.pdf
E. White,2,0,North Carolina Heels,02.09.2025,0,0,0,0,1,11,2,9,4,4,37,32,86.5,0,18,18.0,0.2,0.0,18.2,players_2025_09_02_NorthCarolina.pdf
H. Walker,2,0,North Carolina Heels,02.09.2025,0,0,0,0,0,6,4,2,0,0,24,15,62.5,0,12,4.0,0.0,0.0,4.0,players_2025_09_02_NorthCarolina.pdf
M. Lenert,2,0,North Carolina Heels,02.09.2025,2,2,1,0,2,21,8,1,1,1,30,20,66.7,0,31,7.0,6.9,0.0,13.9,players_2025_09_02_NorthCarolina.pdf
P. Dashin,2,0,North Carolina Heels,02.09.2025,2,2,1,0,2,7,3,1,0,0,11,9,81.8,0,22,2.5,6.9,0.0,9.4,players_2025_09_02_NorthCarolina.pdf
C. Hughes,2,0,North Carolina Heels,02.09.2025,0,0,0,0,0,4,3,2,0,0,8,4,50.0,0,10,3.5,0.0,0.0,3.5,players_2025_09_02_NorthCarolina.pdf
L. Gill,2,0,North Carolina Heels,02.09.2025,1,1,0,0,1,3,1,1,1,0,2,1,50.0,0,9,2.5,3.2,0.0,5.7,players_2025_09_02_NorthCarolina.pdf
R. Watson,2,0,North Carolina Heels,02.09.2025,0,0,0,0,0,6,2,5,6,0,11,8,72.7,0,12,12.0,0.0,0.0,12.0,players_2025_09_02_NorthCarolina.pdf
I. Salifu,2,0,North Carolina Heels,02.09.2025,0,0,0,0,0,4,2,0,0,0,7,5,71.4,0,9,1.0,0.0,0.0,1.0,players_2025_09_02_NorthCarolina.pdf
T. Nero,2,0,North Carolina Heels,02.09.2025,0,0,0,0,0,1,0,1,0,0,4,3,75.0,0,2,1.0,0.0,0.0,1.0,players_2025_09_02_NorthCarolina.pdf
J. Watson,2,0,North Carolina Heels,02.09.2025,0,0,0,0,0,0,0,0,1,0,1,0,0.0,0,0,1.0,0.0,0.0,1.0,players_2025_09_02_NorthCarolina.pdf
J. Neumann,2,0,North Carolina Heels,02.09.2025,0,0,0,0,0,4,1,1,0,1,2,0,0.0,0,5,2.5,0.0,0.0,2.5,players_2025_09_02_NorthCarolina.pdf
C. Crockford,,,Elon,2025_09_06,0,0,0,0,0,4,2,1,2,0,30,27,90.0,0,7,4.0,0.0,0.0,4.0,players_2025_09_06_Elon.pdf
B. Baldwin,,,Elon,2025_09_06,1,1,1,0,0,10,4,2,1,0,56,49,87.5,0,13,5.0,3.5,0.0,8.5,players_2025_09_06_Elon.pdf
N. Gold,,,Elon,2025_09_06,1,1,0,0,0,13,7,4,0,0,66,56,84.8,0,20,7.5,3.0,0.0,10.5,players_2025_09_06_Elon.pdf
J. Barrett,,,Elon,2025_09_06,0,0,0,0,0,4,3,1,3,0,52,39,75.0,0,11,5.5,0.0,0.0,5.5,players_2025_09_06_Elon.pdf
S. Bendvold,,,Elon,2025_09_06,0,0,0,0,0,7,2,1,0,0,29,15,51.7,0,15,2.0,0.0,0.0,2.0,players_2025_09_06_Elon.pdf
E. White,,,Elon,2025_09_06,1,1,0,0,0,7,4,4,0,1,35,27,77.1,0,19,7.0,3.0,0.0,10.0,players_2025_09_06_Elon.pdf
H. Walker,,,Elon,2025_09_06,0,0,0,0,1,8,1,1,0,0,15,14,93.3,0,13,1.5,0.2,0.0,1.7,players_2025_09_06_Elon.pdf
B. Bagshaw,,,Elon,2025_09_06,1,1,1,0,5,2,0,1,1,0,12,7,58.3,0,10,2.0,4.5,0.0,6.5,players_2025_09_06_Elon.pdf
M. Lenert,,,Elon,2025_09_06,3,3,0,0,6,8,3,2,2,1,23,19,82.6,0,15,6.5,10.2,0.0,16.7,players_2025_09_06_Elon.pdf
P. Dashin,,,Elon,2025_09_06,0,0,0,0,0,3,1,1,0,0,4,3,75.0,0,18,1.5,0.0,0.0,1.5,players_2025_09_06_Elon.pdf
T. Nero,,,Elon,2025_09_06,0,0,0,0,0,1,0,1,0,0,6,5,83.3,0,5,1.0,0.0,0.0,1.0,players_2025_09_06_Elon.pdf
R. Watson,,,Elon,2025_09_06,0,0,0,0,4,3,2,2,1,0,13,11,84.6,0,12,4.0,0.8,0.0,4.8,players_2025_09_06_Elon.pdf
C. Hughes,,,Elon,2025_09_06,0,0,0,1,1,4,3,0,1,0,13,9,69.2,0,8,2.5,0.7,0.0,3.2,players_2025_09_06_Elon.pdf
L. Gill,,,Elon,2025_09_06,0,0,0,0,4,10,1,1,0,0,23,17,73.9,0,18,1.5,0.8,0.0,2.3,players_2025_09_06_Elon.pdf
I. Salifu,,,Elon,2025_09_06,0,0,0,0,0,3,1,0,0,0,15,13,86.7,0,8,0.5,0.0,0.0,0.5,players_2025_09_06_Elon.pdf
E. Emanuele,,,Elon,2025_09_06,0,0,0,0,0,3,2,0,0,0,13,11,84.6,0,5,1.0,0.0,0.0,1.0,players_2025_09_06_Elon.pdf
C. Crockford,1,0,USC Upstate Spartans,10.09.2025,0,0,0,0,0,5,5,6,4,0,18,14,77.8,0,11,12.5,0.0,0.0,12.5,players_2025_09_10_USCUpstate.pdf
B. Baldwin,1,0,USC Upstate Spartans,10.09.2025,0,0,0,0,0,4,1,5,1,0,35,28,80.0,0,6,6.5,0.0,0.0,6.5,players_2025_09_10_USCUpstate.pdf
N. Gold,1,0,USC Upstate Spartans,10.09.2025,2,2,1,0,1,4,1,2,3,0,59,54,91.5,0,8,5.5,6.7,0.0,12.2,players_2025_09_10_USCUpstate.pdf
D. Toulson,1,0,USC Upstate Spartans,10.09.2025,0,0,0,0,1,11,9,6,4,1,42,38,90.5,0,17,15.5,0.2,0.0,15.7,players_2025_09_10_USCUpstate.pdf
B. Bagshaw,1,0,USC Upstate Spartans,10.09.2025,1,1,1,0,4,5,0,1,0,0,10,5,50.0,0,8,1.0,4.3,0.0,5.3,players_2025_09_10_USCUpstate.pdf
I. Salifu,1,0,USC Upstate Spartans,10.09.2025,1,1,1,1,3,6,2,2,1,0,37,21,56.8,0,12,4.0,4.6,0.0,8.6,players_2025_09_10_USCUpstate.pdf
E. White,1,0,USC Upstate Spartans,10.09.2025,0,0,0,0,2,14,4,6,5,1,70,60,85.7,0,26,14.0,0.4,0.0,14.4,players_2025_09_10_USCUpstate.pdf
H. Walker,1,0,USC Upstate Spartans,10.09.2025,0,0,0,0,1,1,0,4,1,0,22,22,100.0,0,10,5.0,0.2,0.0,5.2,players_2025_09_10_USCUpstate.pdf
M. Lenert,1,0,USC Upstate Spartans,10.09.2025,3,3,2,1,4,8,3,1,0,1,28,21,75.0,0,15,3.5,11.3,0.0,14.8,players_2025_09_10_USCUpstate.pdf
L. Gill,1,0,USC Upstate Spartans,10.09.2025,2,2,1,0,1,5,1,1,0,0,10,6,60.0,0,14,1.5,6.7,0.0,8.2,players_2025_09_10_USCUpstate.pdf
C. Hughes,1,0,USC Upstate Spartans,10.09.2025,1,1,0,0,2,2,0,0,0,0,17,13,76.5,0,9,0.0,3.4,0.0,3.4,players_2025_09_10_USCUpstate.pdf
S. Bendvold,1,0,USC Upstate Spartans,10.09.2025,2,2,1,0,7,6,1,5,1,1,35,22,62.9,0,16,7.5,7.9,0.0,15.4,players_2025_09_10_USCUpstate.pdf
R. Watson,1,0,USC Upstate Spartans,10.09.2025,0,0,0,0,2,9,5,6,6,0,24,15,62.5,0,14,14.5,0.4,0.0,14.9,players_2025_09_10_USCUpstate.pdf
P. Dashin,1,0,USC Upstate Spartans,10.09.2025,2,2,0,0,1,3,1,0,0,0,11,11,100.0,0,11,0.5,6.2,0.0,6.7,players_2025_09_10_USCUpstate.pdf
J. Barrett,1,0,USC Upstate Spartans,10.09.2025,1,1,0,0,1,4,0,6,3,0,14,10,71.4,0,4,9.0,3.2,0.0,12.2,players_2025_09_10_USCUpstate.pdf
J. Watson,1,0,USC Upstate Spartans,10.09.2025,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,players_2025_09_10_USCUpstate.pdf
C. Crockford,0,0,Campbell Camels,13.09.2025,0,0,0,0,0,5,1,2,2,2,9,8,88.9,0,10,6.5,0.0,0.0,6.5,players_2025_09_13_Campbell.pdf
B. Baldwin,0,0,Campbell Camels,13.09.2025,1,1,1,0,0,7,5,5,8,0,29,22,75.9,0,10,15.5,3.5,0.0,19.0,players_2025_09_13_Campbell.pdf
N. Gold,0,0,Campbell Camels,13.09.2025,0,0,0,0,0,12,5,6,5,1,50,33,66.0,0,19,14.5,0.0,0.0,14.5,players_2025_09_13_Campbell.pdf
D. Toulson,0,0,Campbell Camels,13.09.2025,2,2,0,0,1,14,7,8,6,1,39,30,76.9,0,26,18.5,6.2,0.0,24.7,players_2025_09_13_Campbell.pdf
I. Salifu,0,0,Campbell Camels,13.09.2025,0,0,0,0,1,7,5,2,1,0,13,7,53.8,0,14,5.5,0.2,0.0,5.7,players_2025_09_13_Campbell.pdf
E. White,0,0,Campbell Camels,13.09.2025,1,1,1,1,0,6,4,7,4,4,38,34,89.5,0,17,17.0,4.0,0.0,21.0,players_2025_09_13_Campbell.pdf
H. Walker,0,0,Campbell Camels,13.09.2025,0,0,0,1,0,10,7,1,0,0,27,23,85.2,0,21,4.5,0.5,0.0,5.0,players_2025_09_13_Campbell.pdf
B. Bagshaw,0,0,Campbell Camels,13.09.2025,2,2,1,0,4,7,1,2,0,0,14,8,57.1,0,12,2.5,7.3,0.0,9.8,players_2025_09_13_Campbell.pdf
L. Gill,0,0,Campbell Camels,13.09.2025,0,0,0,0,1,6,1,0,0,0,15,12,80.0,0,21,0.5,0.2,0.0,0.7,players_2025_09_13_Campbell.pdf
M. Lenert,0,0,Campbell Camels,13.09.2025,3,3,1,0,2,9,3,1,2,0,47,31,66.0,0,20,4.5,9.9,0.0,14.4,players_2025_09_13_Campbell.pdf
C. Hughes,0,0,Campbell Camels,13.09.2025,0,0,0,1,0,4,4,2,0,0,7,5,71.4,0,8,4.0,0.5,0.0,4.5,players_2025_09_13_Campbell.pdf
P. Dashin,0,0,Campbell Camels,13.09.2025,2,2,0,0,0,4,1,0,0,0,10,6,60.0,0,16,0.5,6.0,0.0,6.5,players_2025_09_13_Campbell.pdf
S. Bendvold,0,0,Campbell Camels,13.09.2025,1,1,0,0,1,10,2,5,0,0,36,24,66.7,0,18,6.0,3.2,0.0,9.2,players_2025_09_13_Campbell.pdf
R. Watson,0,0,Campbell Camels,13.09.2025,0,0,0,0,0,5,3,3,2,0,13,7,53.8,0,9,6.5,0.0,0.0,6.5,players_2025_09_13_Campbell.pdf
B. Baldwin,,,Furman,2025_09_17,0,0,0,0,0,2,0,5,1,0,32,27,84.4,0,3,6.0,0.0,0.0,6.0,players_2025_09_17_Furman.pdf
N. Gold,,,Furman,2025_09_17,1,1,1,0,0,4,1,5,4,1,36,26,72.2,0,12,10.5,3.5,0.0,14.0,players_2025_09_17_Furman.pdf
D. Toulson,,,Furman,2025_09_17,0,0,0,0,0,7,4,4,2,2,25,17,68.0,0,14,10.0,0.0,0.0,10.0,players_2025_09_17_Furman.pdf
C. Crockford,,,Furman,2025_09_17,1,1,1,0,0,2,0,4,4,0,32,25,78.1,0,11,8.0,3.5,0.0,11.5,players_2025_09_17_Furman.pdf
S. Bendvold,,,Furman,2025_09_17,0,0,0,0,0,4,1,1,0,1,29,21,72.4,0,13,2.5,0.0,0.0,2.5,players_2025_09_17_Furman.pdf
E. White,,,Furman,2025_09_17,0,0,0,0,0,8,4,7,2,3,34,28,82.4,0,12,14.0,0.0,0.0,14.0,players_2025_09_17_Furman.pdf
H. Walker,,,Furman,2025_09_17,0,0,0,0,0,6,1,3,1,0,25,18,72.0,0,15,4.5,0.0,0.0,4.5,players_2025_09_17_Furman.pdf
M. Lenert,,,Furman,2025_09_17,2,2,0,0,2,6,2,3,0,0,23,14,60.9,0,16,4.0,6.4,0.0,10.4,players_2025_09_17_Furman.pdf
B. Bagshaw,,,Furman,2025_09_17,0,0,0,0,2,6,4,0,0,0,25,19,76.0,0,17,2.0,0.4,0.0,2.4,players_2025_09_17_Furman.pdf
L. Gill,,,Furman,2025_09_17,0,0,0,0,0,3,1,0,0,0,9,7,77.8,0,9,0.5,0.0,0.0,0.5,players_2025_09_17_Furman.pdf
C. Hughes,,,Furman,2025_09_17,0,0,0,0,0,2,2,1,0,0,4,4,100.0,0,6,2.0,0.0,0.0,2.0,players_2025_09_17_Furman.pdf
I. Salifu,,,Furman,2025_09_17,1,1,0,0,1,1,1,0,0,0,7,4,57.1,0,6,0.5,3.2,0.0,3.7,players_2025_09_17_Furman.pdf
P. Dashin,,,Furman,2025_09_17,0,0,0,0,0,8,2,1,0,0,13,9,69.2,0,23,2.0,0.0,0.0,2.0,players_2025_09_17_Furman.pdf
R. Watson,,,Furman,2025_09_17,0,0,0,0,0,4,2,2,0,0,6,2,33.3,0,7,3.0,0.0,0.0,3.0,players_2025_09_17_Furman.pdf
J. Watson,,,Furman,2025_09_17,0,0,0,0,0,1,0,1,0,0,1,0,0.0,0,3,1.0,0.0,0.0,1.0,players_2025_09_17_Furman.pdf
J. Jordheim,,,Furman,2025_09_17,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0,2,0.0,0.0,0.0,0.0,players_2025_09_17_Furman.pdf
C. Crockford,0,1,Georgia Southern Eagles,24.09.2025,1,1,0,0,0,5,2,2,1,1,20,18,90.0,0,12,5.0,3.0,0.0,8.0,players_2025_09_24_GeorgiaSouthern.pdf
B. Baldwin,0,1,Georgia Southern Eagles,24.09.2025,0,0,0,0,0,3,3,5,2,0,73,71,97.3,0,5,8.5,0.0,0.0,8.5,players_2025_09_24_GeorgiaSouthern.pdf
N. Gold,0,1,Georgia Southern Eagles,24.09.2025,0,0,0,0,0,12,4,6,1,0,91,81,89.0,0,14,9.0,0.0,0.0,9.0,players_2025_09_24_GeorgiaSouthern.pdf
D. Toulson,0,1,Georgia Southern Eagles,24.09.2025,1,1,1,0,0,4,1,2,0,1,46,41,89.1,0,8,3.5,3.5,0.0,7.0,players_2025_09_24_GeorgiaSouthern.pdf
E. White,0,1,Georgia Southern Eagles,24.09.2025,0,0,0,1,1,6,4,1,0,0,38,32,84.2,0,15,3.0,0.7,0.0,3.7,players_2025_09_24_GeorgiaSouthern.pdf
C. Hughes,0,1,Georgia Southern Eagles,24.09.2025,0,0,0,0,3,5,1,2,0,0,25,21,84.0,0,8,2.5,0.6,0.0,3.1,players_2025_09_24_GeorgiaSouthern.pdf
S. Bendvold,0,1,Georgia Southern Eagles,24.09.2025,0,0,0,0,4,6,3,3,0,1,24,19,79.2,0,17,5.5,0.8,0.0,6.3,players_2025_09_24_GeorgiaSouthern.pdf
I. Salifu,0,1,Georgia Southern Eagles,24.09.2025,0,0,0,0,1,8,5,1,1,1,49,42,85.7,0,12,5.5,0.2,0.0,5.7,players_2025_09_24_GeorgiaSouthern.pdf
M. Lenert,0,1,Georgia Southern Eagles,24.09.2025,4,4,2,0,6,7,1,2,0,0,35,26,74.3,0,12,2.5,14.2,0.0,16.7,players_2025_09_24_GeorgiaSouthern.pdf
P. Dashin,0,1,Georgia Southern Eagles,24.09.2025,1,1,1,0,1,0,0,0,0,1,5,4,80.0,0,7,1.0,3.7,0.0,4.7,players_2025_09_24_GeorgiaSouthern.pdf
H. Walker,0,1,Georgia Southern Eagles,24.09.2025,0,0,0,0,2,8,3,0,1,2,26,21,80.8,0,14,4.5,0.4,0.0,4.9,players_2025_09_24_GeorgiaSouthern.pdf
B. Bagshaw,0,1,Georgia Southern Eagles,24.09.2025,1,1,0,0,3,4,2,2,0,1,14,11,78.6,0,10,4.0,3.6,0.0,7.6,players_2025_09_24_GeorgiaSouthern.pdf
L. Gill,0,1,Georgia Southern Eagles,24.09.2025,1,1,1,0,5,2,0,3,0,0,25,17,68.0,0,11,3.0,4.5,0.0,7.5,players_2025_09_24_GeorgiaSouthern.pdf
R. Watson,0,1,Georgia Southern Eagles,24.09.2025,0,0,0,0,0,10,5,3,1,0,29,26,89.7,0,12,6.5,0.0,0.0,6.5,players_2025_09_24_GeorgiaSouthern.pdf
J. Jordheim,0,1,Georgia Southern Eagles,24.09.2025,0,0,0,0,0,1,0,0,0,0,9,9,100.0,0,3,0.0,0.0,0.0,0.0,players_2025_09_24_GeorgiaSouthern.pdf
J. Barrett,0,1,Georgia Southern Eagles,24.09.2025,1,1,0,1,0,1,1,0,0,0,9,8,88.9,0,3,0.5,3.5,0.0,4.0,players_2025_09_24_GeorgiaSouthern.pdf
C. Crockford,3,1,William & Mary Tribe,27.09.2025,0,0,0,0,0,2,1,1,0,0,15,11,73.3,0,7,1.5,0.0,0.0,1.5,players_2025_09_27_WilliamMary.pdf
B. Baldwin,3,1,William & Mary Tribe,27.09.2025,0,0,0,0,0,8,6,4,3,0,33,25,75.8,0,14,10.0,0.0,0.0,10.0,players_2025_09_27_WilliamMary.pdf
N. Gold,3,1,William & Mary Tribe,27.09.2025,0,0,0,0,0,9,5,3,1,0,50,47,94.0,0,13,6.5,0.0,0.0,6.5,players_2025_09_27_WilliamMary.pdf
